WARNING:tensorflow:From /home/lixiang/miniconda3_old/envs/data_diet/lib/python3.7/site-packages/tensorflow_datasets/core/dataset_builder.py:622: get_single_element (from tensorflow.python.data.experimental.ops.get_single_element) is deprecated and will be removed in a future version.
Instructions for updating:
Use `tf.data.Dataset.get_single_element()`.
load cifar10... 13s
get train state... 14s
train args:
{
    "data_dir": "/home/lixiang/baseline/data_diet/data",
    "dataset": "cifar10",
    "subset": null,
    "subset_size": null,
    "scores_path": null,
    "subset_offset": null,
    "random_subset_seed": null,
    "model": "resnet18_lowres",
    "model_seed": 210,
    "load_dir": null,
    "ckpt": 0,
    "lr": 0.1,
    "beta": 0.9,
    "weight_decay": 0.0005,
    "nesterov": true,
    "lr_vitaly": false,
    "decay_factor": 0.2,
    "decay_steps": [
        93780,
        187560,
        250080
    ],
    "num_steps": 312600,
    "train_seed": 210,
    "train_batch_size": 32,
    "test_batch_size": 128,
    "augment": true,
    "track_forgetting": true,
    "save_dir": "/home/lixiang/baseline/data_diet/exps/formal_cifar10_seed42_E200_b32_k6/run_4",
    "log_steps": 1563,
    "early_step": 0,
    "early_save_steps": null,
    "save_steps": 1563,
    "image_shape": [
        32,
        32,
        3
    ],
    "num_classes": 10,
    "num_train_examples": 50000,
    "num_test_examples": 10000,
    "steps_per_epoch": 1562,
    "steps_per_test": 79,
    "random_label_fraction": 0,
    "num_params": 11173962
}
Save args to /home/lixiang/baseline/data_diet/exps/formal_cifar10_seed42_E200_b32_k6/run_4/args.json
train net...
  0.00% | time:  21.3s (  0.4m) | step:      0 | lr:   init | train acc:  init | test acc: 0.097
  0.50% | time: 107.1s (  2.1m) | step:   1563 | lr: 0.1000 | train acc: 0.500 | test acc: 0.395
  1.00% | time:  89.1s (  3.6m) | step:   3126 | lr: 0.1000 | train acc: 0.656 | test acc: 0.558
  1.50% | time:  87.2s (  5.1m) | step:   4689 | lr: 0.1000 | train acc: 0.781 | test acc: 0.650
  2.00% | time:  77.6s (  6.4m) | step:   6252 | lr: 0.1000 | train acc: 0.844 | test acc: 0.695
  2.50% | time:  87.1s (  7.8m) | step:   7815 | lr: 0.1000 | train acc: 0.719 | test acc: 0.721
  3.00% | time:  87.4s (  9.3m) | step:   9378 | lr: 0.1000 | train acc: 0.750 | test acc: 0.648
  3.50% | time:  78.0s ( 10.6m) | step:  10941 | lr: 0.1000 | train acc: 0.812 | test acc: 0.745
  4.00% | time:  87.1s ( 12.0m) | step:  12504 | lr: 0.1000 | train acc: 0.688 | test acc: 0.696
  4.50% | time:  87.4s ( 13.5m) | step:  14067 | lr: 0.1000 | train acc: 0.781 | test acc: 0.727
  5.00% | time:  87.9s ( 15.0m) | step:  15630 | lr: 0.1000 | train acc: 0.875 | test acc: 0.745
  5.50% | time:  76.8s ( 16.2m) | step:  17193 | lr: 0.1000 | train acc: 0.688 | test acc: 0.706
  6.00% | time:  87.1s ( 17.7m) | step:  18756 | lr: 0.1000 | train acc: 0.750 | test acc: 0.686
  6.50% | time:  87.5s ( 19.1m) | step:  20319 | lr: 0.1000 | train acc: 0.812 | test acc: 0.774
  7.00% | time:  77.8s ( 20.4m) | step:  21882 | lr: 0.1000 | train acc: 0.812 | test acc: 0.765
